"DateTime","Sensor_id","Vendor","SensorModel","LAT","LONG","Zone","NoiseLevel_db","AlertTriggered","SensorStatus"
21-04-26 18:32:10,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",57,"None","Normal"
21-04-26 18:42:14,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",55,"None","Normal"
21-04-26 18:52:15,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",63,"None","Normal"
21-04-26 19:02:17,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",59,"None","Normal"
21-04-26 19:12:19,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",56,"None","Normal"
21-04-26 19:22:24,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",57,"None","Normal"
21-04-26 00:02:18,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 00:12:19,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 00:22:20,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 00:32:21,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 00:42:22,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 00:52:23,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 01:02:24,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 01:12:25,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 01:22:27,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 01:32:28,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 01:42:29,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 01:52:26,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 02:02:27,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 02:12:28,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 02:12:28,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 02:22:29,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 02:32:31,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 02:42:32,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 02:52:32,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 03:02:34,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 03:12:33,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 03:22:33,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 03:32:34,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 03:42:35,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
21-04-26 03:52:37,"64d7e0e4cfeba0b6","ATT","AQM-01-00-01-00-01-00-GY",29.41491,-98.481464,"Downtown",30,"None","Normal"
